Question number,Annotation 1,Annotation 2,Annotation 3,Annotation 4,Annotation 5,,,,,,,,,
1,Define diffusion and describe its role in nutrient uptake and gaseous exchange in plants and humans,"Define active transport and discuss its importance as an energy-consuming process by which substances are transported against a concentration gradient, as in ion uptake by root hairs and uptake of glucose by cells in the villi",Define homeostasis as the maintenance of a constant internal environment,,,,,,,,,,,
2,Golgi body ,Reducing sugars (Benedict's solution),"Explain how energy losses occur along food chains, and discuss the efficiency of energy transfer between trophic levels","Explain what is meant by an endocrine gland, with reference to the islets of Langerhans in the pancreas",,,,,,,,,,
3,"Explain the basic principles of homeostasis in terms of stimulus resulting from a change in the internal environment, a corrective mechanism and negative feedback",Compare the structure of typical animal and plant cells,"Identify, with the aid of diagrams, the main stages of mitosis","Briefly describe the menstrual cycle with reference to the alternation of menstruation and ovulation, the natural variation in its length, and the fertile and infertile phases of the cycle with reference to the effects of progesterone and estrogen only","State the structure of DNA in terms of the bases, sugar and phosphate groups found in each of their nucleotides ",,,,,,,,,
4,"Define and state the equation, in words only, for anaerobic respiration in humans",Briefly explain how a gene that controls the production of human insulin can be inserted into bacterial DNA to produce human insulin in medical biotechnology ,Describe the transfer of materials between capillaries and tissue fluid,,,,,,,,,,,
5,State the roles of water in living organisms,"Explain the mode of action of enzymes in terms of an active site, enzyme-substrate complex, lowering of activation energy and enzyme specificity",,,,,,,,,,,,
6,State the function of the hepatic portal vein as the transport of blood rich in absorbed nutrients from the small intestine to the liver,Describe peristalsis in terms of rhythmic wave-like contractions of the muscles to mix and propel the contents of the alimentary canal,,,,,,,,,,,,
7,"Use a hand lens to identify and describe the stamens and stigmas of one, locally available, named, wind-pollinated flower, and examine the pollen grains using a microscope",State the functions of the amniotic sac and the amniotic fluid,Cell surface membrane,Conduction and support – xylem vessels,,,,,,,,,,
8,Cytoplasm,,,,,,,,,,,,,
9,Lipids such as fats from glycerol and fatty acids,Distribution of chloroplasts in photosynthesis ,,,,,,,,,,,,
10,Explain enzyme action in terms of the ‘lock and key’ hypothesis,,,,,,,,,,,,,
11,Mitochondria,,,,,,,,,,,,,
12,State the functions of the amniotic sac and the amniotic fluid,Outline the pathway by which water is transported from the roots to the leaves through the xylem vessels,,,,,,,,,,,,
13,Define diffusion and describe its role in nutrient uptake and gaseous exchange in plants and humans,,,,,,,,,,,,,
14,"Explain why observed ratios often differ from expected ratios, especially when there are small numbers of progeny ",Proteins,,,,,,,,,,,,
15,Discuss the spread of human immunodeficiency virus (HIV) and methods by which it may be controlled,Explain how the blood glucose concentration is regulated by insulin and glucagon as a homeostatic mechanism ,Describe the structure of the eye as seen in front view and in horizontal section,"Describe the role of cilia, diaphragm, ribs and intercostal muscles in breathing",Chloroplasts,,,,,,,,,
16,Pollution due to insecticides including bioaccumulation up food chains and impact on top carnivores,,,,,,,,,,,,,
17,"Describe the maintenance of a constant body temperature in humans in terms of insulation and the role of: temperature receptors in the skin, sweating, shivering, blood vessels near the skin surface and the co-ordinating role of the hypothalamus",,,,,,,,,,,,,
18,"Explain the terms producer, consumer and trophic level in the context of food chains and food webs ",,,,,,,,,,,,,
19,"State the relationship between receptors, the central nervous system and the effectors ",Nucleus,Explain enzyme action in terms of the ‘lock and key’ hypothesis,,,,,,,,,,,
20,Protein (biuret test),Starch (iodine in potassium iodide solution),"Describe the signs, such as an increased blood glucose level and glucose in urine, and the treatment of diabetes mellitus using insulin",Explain that genes may be transferred between cells. Reference should be made to the transfer of genes between organisms of the same species or different species – transgenic plants or animals ,,,,,,,,,,
21,Cytoplasm,,,,,,,,,,,,,
22,"Define and state the equation, in words and symbols, for aerobic respiration in humans",,,,,,,,,,,,,
23,Briefly describe the non-cyclical nature of energy flow,Describe the structure of the eye as seen in front view and in horizontal section,Nucleus,"Describe the functions of main regions of the alimentary canal and the associated organs: mouth, salivary glands, oesophagus, stomach, duodenum, pancreas, gall bladder, liver, ileum, colon, rectum, anus, in relation to ingestion, digestion, absorption, assimilation and egestion of food, as appropriate","Define and state the equation, in words only, for anaerobic respiration in humans",,,,,,,,,
