"Topic Level 1","Topic Level 2","Topic Level 3",,
"Cell Structure and Organisation","Identify cell structures (including organelles) of typical plant and animal cells from diagrams, photomicrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: ","Chloroplasts",,
"Cell Structure and Organisation","Identify cell structures (including organelles) of typical plant and animal cells from diagrams, photomicrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: ","Cell surface membrane",,
"Cell Structure and Organisation","Identify cell structures (including organelles) of typical plant and animal cells from diagrams, photomicrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: ","Cell wall",,
"Cell Structure and Organisation","Identify cell structures (including organelles) of typical plant and animal cells from diagrams, photomicrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: ","Cytoplasm",,
"Cell Structure and Organisation","Identify cell structures (including organelles) of typical plant and animal cells from diagrams, photomicrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: ","Cell vacuoles (large, sap-filled in plant cells, small, temporary in animal cells)",,
"Cell Structure and Organisation","Identify cell structures (including organelles) of typical plant and animal cells from diagrams, photomicrographs and as seen under the light microscope using prepared slides and fresh material treated with an appropriate temporary staining technique: ","Nucleus",,
"Cell Structure and Organisation","Identify the following membrane systems and organelles from diagrams and electron micrographs:","Endoplasmic reticulum",,
"Cell Structure and Organisation","Identify the following membrane systems and organelles from diagrams and electron micrographs:","Mitochondria",,
"Cell Structure and Organisation","Identify the following membrane systems and organelles from diagrams and electron micrographs:","Golgi body ",,
"Cell Structure and Organisation","Identify the following membrane systems and organelles from diagrams and electron micrographs:","Ribosomes",,
"Cell Structure and Organisation","State the functions of the membrane systems and organelles identified above",,,
"Cell Structure and Organisation","Compare the structure of typical animal and plant cells",,,
"Cell Structure and Organisation","State, in simple terms, the relationship between cell function and cell structure for the following:","Absorption – root hair cells",,
"Cell Structure and Organisation","State, in simple terms, the relationship between cell function and cell structure for the following:","Conduction and support – xylem vessels",,
"Cell Structure and Organisation","State, in simple terms, the relationship between cell function and cell structure for the following:","Transport of oxygen – red blood cells",,
"Cell Structure and Organisation","Differentiate cell, tissue, organ and organ system",,,
"Movement of Substances","Define diffusion and describe its role in nutrient uptake and gaseous exchange in plants and humans",,,
"Movement of Substances","Define osmosis and describe the effects of osmosis on plant and animal tissues",,,
"Movement of Substances","Define active transport and discuss its importance as an energy-consuming process by which substances are transported against a concentration gradient, as in ion uptake by root hairs and uptake of glucose by cells in the villi",,,
"Biological Molecules","State the roles of water in living organisms",,,
"Biological Molecules","List the chemical elements which make up ","Carbohydrates",,
"Biological Molecules","List the chemical elements which make up ","Fats",,
"Biological Molecules","List the chemical elements which make up ","Proteins",,
"Biological Molecules","Describe and carry out tests for","Starch (iodine in potassium iodide solution)",,
"Biological Molecules","Describe and carry out tests for","Reducing sugars (Benedict's solution)",,
"Biological Molecules","Describe and carry out tests for","Protein (biuret test)",,
"Biological Molecules","Describe and carry out tests for","Fats (ethanol emulsion)",,
"Biological Molecules","State that large molecules are synthesised from smaller basic units ","Glycogen from glucose",,
"Biological Molecules","State that large molecules are synthesised from smaller basic units ","Polypeptides and proteins from amino acids",,
"Biological Molecules","State that large molecules are synthesised from smaller basic units ","Lipids such as fats from glycerol and fatty acids",,
"Biological Molecules","Explain enzyme action in terms of the ‘lock and key’ hypothesis",,,
"Biological Molecules","Explain the mode of action of enzymes in terms of an active site, enzyme-substrate complex, lowering of activation energy and enzyme specificity",,,
"Biological Molecules","Investigate and explain the effects of temperature and pH on the rate of enzyme catalysed reactions",,,
"Nutrition in Humans","Describe the functions of main regions of the alimentary canal and the associated organs: mouth, salivary glands, oesophagus, stomach, duodenum, pancreas, gall bladder, liver, ileum, colon, rectum, anus, in relation to ingestion, digestion, absorption, assimilation and egestion of food, as appropriate",,,
"Nutrition in Humans","Describe peristalsis in terms of rhythmic wave-like contractions of the muscles to mix and propel the contents of the alimentary canal",,,
"Nutrition in Humans","Describe the functions of enzymes (e.g. amylase, maltase, protease, lipase) in digestion, listing the substrates and end-products",,,
"Nutrition in Humans","Describe the structure of a villus and its role, including the role of capillaries and lacteals in absorption",,,
"Nutrition in Humans","State the function of the hepatic portal vein as the transport of blood rich in absorbed nutrients from the small intestine to the liver",,,
"Nutrition in Humans","State the role of the liver in ","Carbohydrate metabolism",,
"Nutrition in Humans","State the role of the liver in ","Fat digestion",,
"Nutrition in Humans","State the role of the liver in ","Breakdown of red blood cells",,
"Nutrition in Humans","State the role of the liver in ","Metabolism of amino acids and the formation of urea",,
"Nutrition in Humans","State the role of the liver in ","Breakdown of alcohol",,
"Nutrition in Humans","Describe the effects of excessive consumption of alcohol: reduced self-control, depressant, effect on reaction times, damage to liver and social implications",,,
"Nutrition in Plants","Identify and label the cellular and tissue structure of a dicotyledonous leaf, as seen in transverse section using the light microscope and describe the significance of these features in terms of their functions, such as the","Distribution of chloroplasts in photosynthesis ",,
"Nutrition in Plants","Identify and label the cellular and tissue structure of a dicotyledonous leaf, as seen in transverse section using the light microscope and describe the significance of these features in terms of their functions, such as the","Stomata and mesophyll cells in gaseous exchange",,
"Nutrition in Plants","Identify and label the cellular and tissue structure of a dicotyledonous leaf, as seen in transverse section using the light microscope and describe the significance of these features in terms of their functions, such as the","Vascular bundles in transport",,
"Nutrition in Plants","State the equation, in words and symbols, for photosynthesis",,,
"Nutrition in Plants","Describe the intake of carbon dioxide and water by plants",,,
"Nutrition in Plants","State that chlorophyll traps light energy and converts it into chemical energy for the formation of carbohydrates and their subsequent uses",,,
"Nutrition in Plants","Investigate and discuss the effects of varying light intensity, carbon dioxide concentration and temperature on the rate of photosynthesis (e.g. in submerged aquatic plant)",,,
"Nutrition in Plants","Discuss light intensity, carbon dioxide concentration and temperature as limiting factors on the rate of photosynthesis",,,
"Transport in Flowering Plants","Identify the positions and explain the functions of xylem vessels, phloem (sieve tube elements and companion cells) in sections of a herbaceous dicotyledonous leaf and stem, using the light microscope",,,
"Transport in Flowering Plants","Relate the structure and functions of root hairs to their surface area, and to water and ion uptake",,,
"Transport in Flowering Plants","Explain the movement of water between plant cells, and between them and the environment in
terms of water potential (calculations on water potential are not required)",,,
"Transport in Flowering Plants","Outline the pathway by which water is transported from the roots to the leaves through the xylem vessels",,,
"Transport in Flowering Plants","Define the term transpiration and explain that transpiration is a consequence of gaseous exchange in plants",,," "
"Transport in Flowering Plants","Describe and explain","The effects of variation of air movement, temperature, humidity and light intensity on transpiration rate",,
"Transport in Flowering Plants","Describe and explain","How wilting occurs",,
"Transport in Flowering Plants","Define the term translocation as the transport of food in the phloem tissue and illustrate the process through translocation studies",,,
"Transport in Humans","Identify the main blood vessels to and from the heart, lungs, liver and kidney",,,
"Transport in Humans","State the role of blood in transport and defence","Red blood cells – haemoglobin and oxygen transport ",,
"Transport in Humans","State the role of blood in transport and defence","Plasma – transport of blood cells, ions, soluble food substances, hormones, carbon dioxide, urea, vitamins, plasma proteins",,
"Transport in Humans","State the role of blood in transport and defence","White blood cells – phagocytosis, antibody formation and tissue rejection",,
"Transport in Humans","State the role of blood in transport and defence","Platelets – fibrinogen to fibrin, causing clotting",,
"Transport in Humans","List the different ABO blood groups and all possible combinations for the donor and recipient in blood transfusions",,,
"Transport in Humans","Relate the structure of arteries, veins and capillaries to their functions",,,
"Transport in Humans","Describe the transfer of materials between capillaries and tissue fluid",,,
"Transport in Humans","Describe the structure and function of the heart in terms of muscular contraction and the working of valves",,,
"Transport in Humans","Outline the cardiac cycle in terms of what happens during systole and diastole (histology of the heart muscle, names of nerves and transmitter substances are not required)",,,
"Transport in Humans","Describe coronary heart disease in terms of the occlusion of coronary arteries and list the possible causes, such as diet, stress and smoking, stating the possible preventative measures",,,
"Respiration in Humans","Identify on diagrams and name the larynx, trachea, bronchi, bronchioles, alveoli and associated capillaries",,,
"Respiration in Humans","State the characteristics of, and describe the role of, the exchange surface of the alveoli in gas exchange",,,
"Respiration in Humans","Describe the removal of carbon dioxide from the lungs, including the role of the carbonic anhydrase enzyme",,,
"Respiration in Humans","Describe the role of cilia, diaphragm, ribs and intercostal muscles in breathing",,,
"Respiration in Humans","Describe the effect of tobacco smoke and its major toxic components – nicotine, tar and carbon monoxide, on health",,,
"Respiration in Humans","Define and state the equation, in words and symbols, for aerobic respiration in humans",,,
"Respiration in Humans","Define and state the equation, in words only, for anaerobic respiration in humans",,,
"Respiration in Humans","Describe the effect of lactic acid in muscles during exercise",,,
"Excretion in Humans","Define excretion and explain the importance of removing nitrogenous and other compounds from the body",,,
"Excretion in Humans","Outline the function of the nephron with reference to ultra-filtration and selective reabsorption in the production of urine",,,
"Excretion in Humans","Outline the role of anti-diuretic hormone (ADH) in osmoregulation ",,,
"Excretion in Humans","Outline the mechanism of dialysis in the case of kidney failure",,,
"Homeostasis","Define homeostasis as the maintenance of a constant internal environment",,,
"Homeostasis","Explain the basic principles of homeostasis in terms of stimulus resulting from a change in the internal environment, a corrective mechanism and negative feedback",,,
"Homeostasis","Identify on a diagram of the skin: hairs, sweat glands, temperature receptors, blood vessels and fatty tissue",,,
"Homeostasis","Describe the maintenance of a constant body temperature in humans in terms of insulation and the role of: temperature receptors in the skin, sweating, shivering, blood vessels near the skin surface and the co-ordinating role of the hypothalamus",,,
"Co-ordination and Response in Humans","State the relationship between receptors, the central nervous system and the effectors ",,,
"Co-ordination and Response in Humans","Describe the structure of the eye as seen in front view and in horizontal section",,,
"Co-ordination and Response in Humans","State the principal functions of component parts of the eye in producing a focused image of near and distant objects on the retina ",,,
"Co-ordination and Response in Humans","Describe the pupil reflex in response to bright and dim light",,,
"Co-ordination and Response in Humans","State that the nervous system – brain, spinal cord and nerves, serves to co-ordinate and regulate bodily functions ",,,
"Co-ordination and Response in Humans","Outline the functions of sensory neurones, relay neurones and motor neurones ",,,
"Co-ordination and Response in Humans","Discuss the function of the brain and spinal cord in producing a co-ordinated response as a result of a specific stimulus in a reflex action",,,
"Co-ordination and Response in Humans","Define a hormone as a chemical substance, produced by a gland, carried by the blood, which alters the activity of one or more specific target organs and is then destroyed by the liver ",,,
"Co-ordination and Response in Humans","Explain what is meant by an endocrine gland, with reference to the islets of Langerhans in the pancreas",,,
"Co-ordination and Response in Humans","State the role of the hormone adrenaline in boosting blood glucose levels and give examples of situations in which this may occur ",,,
"Co-ordination and Response in Humans","Explain how the blood glucose concentration is regulated by insulin and glucagon as a homeostatic mechanism ",,,
